ICAO24,Callsign,Origin,TimePos,LastContact,Long,Lat,Alt,OnGround,Speed,Heading,VertRate,Sensors,GeoAlt,Squawk,SPI,Source
c05c90,CGJBJ   ,Canada,2025-05-01 12:50:46,2025-05-01 12:50:46,-72.6328,45.2734,1463.04,No,60.2,269.02,0.0,No Data,1463.04,No Data,False,0
c01694,PHX432  ,Canada,2025-05-01 12:50:09,2025-05-01 12:50:09,-78.3279,46.7872,6690.36,No,129.3,334.05,-0.33,No Data,6781.8,6540,False,0
c05cbc,CGJDB   ,Canada,2025-05-01 12:50:46,2025-05-01 12:50:46,-73.643,44.1691,3017.52,No,63.17,139.96,-1.95,No Data,3063.24,No Data,False,0
c05ca7,CGJCG   ,Canada,2025-05-01 12:50:45,2025-05-01 12:50:45,-73.3711,45.5624,274.32,No,77.53,333.6,-0.98,No Data,327.66,No Data,False,0
c04fb5,CGEEU   ,Canada,2025-05-01 12:50:46,2025-05-01 12:50:46,-74.2973,45.133,457.2,No,47.03,70.18,-0.33,No Data,No Data,No Data,False,0
abb007,DAL87   ,United States,2025-05-01 12:50:46,2025-05-01 12:50:46,-73.8627,46.0628,10972.8,No,204.61,246.59,0.0,No Data,11170.92,2576,False,0
c007ed,CFDAA   ,Canada,2025-05-01 12:50:45,2025-05-01 12:50:45,-78.5545,44.114,967.74,No,98.89,292.96,-7.15,No Data,944.88,0662,False,0
c007b3,CFCXU   ,Canada,2025-05-01 12:50:46,2025-05-01 12:50:46,-76.3863,45.3024,1242.06,No,41.8,193.52,1.63,No Data,1219.2,No Data,False,0
aaa339,N785BG  ,United States,2025-05-01 12:50:45,2025-05-01 12:50:45,-75.5037,43.9801,2247.9,No,64.75,72.43,0.0,No Data,2278.38,No Data,False,0
a35e49,DAL2629 ,United States,2025-05-01 12:50:46,2025-05-01 12:50:46,-73.6689,45.406,2872.74,No,140.36,215.9,15.28,No Data,2872.74,No Data,False,0
a079e4,N13LT   ,United States,2025-05-01 12:47:36,2025-05-01 12:47:37,-74.8508,44.9285,30.48,No,35.29,30.68,-4.55,No Data,53.34,No Data,False,0
c04fd4,CGEFZ   ,Canada,2025-05-01 12:50:46,2025-05-01 12:50:46,-73.9781,44.1941,3177.54,No,60.71,90.97,-0.65,No Data,3200.4,No Data,False,0
a053e3,MXY135  ,United States,2025-05-01 12:50:46,2025-05-01 12:50:46,-73.2503,44.0784,3611.88,No,179.66,196.98,11.7,No Data,3680.46,No Data,False,0
39c421,AFR342  ,France,2025-05-01 12:49:00,2025-05-01 12:49:00,-73.7546,45.4597,No Data,Yes,0.64,208.12,No Data,No Data,No Data,2531,False,0
c0062a,BBA15   ,Canada,2025-05-01 11:38:00,2025-05-01 12:50:44,-73.7219,45.4787,No Data,Yes,0.26,208.12,No Data,No Data,No Data,No Data,False,0
c00727,CRQ5873 ,Canada,2025-05-01 12:50:46,2025-05-01 12:50:46,-74.1748,45.7678,2750.82,No,145.31,139.88,-6.18,No Data,2766.06,No Data,False,0
c04db0,CGDKX   ,Canada,2025-05-01 12:46:57,2025-05-01 12:46:59,-76.5205,44.3669,1569.72,No,39.88,239.8,-3.58,No Data,1562.1,No Data,False,0
